gen	neutral	del	ben
527 	 929.937 	 84.244 	 90.801
528 	 931.607 	 84.353 	 91.223
529 	 933.442 	 84.515 	 91.515
530 	 934.102 	 84.498 	 91.98
531 	 936.425 	 84.611 	 92.156
532 	 939.237 	 84.884 	 92.54
533 	 940.719 	 85.121 	 92.868
534 	 943.29 	 85.407 	 93.29
535 	 946.365 	 85.653 	 93.606
536 	 947.93 	 85.546 	 94.056
537 	 951.161 	 85.239 	 94.34
538 	 951.477 	 85.789 	 94.742
539 	 953.852 	 85.953 	 95.028
540 	 953.975 	 85.664 	 95.318
541 	 955.888 	 85.7 	 96.022
542 	 957.7 	 85.57 	 96.365
543 	 960.005 	 85.753 	 96.584
544 	 961.937 	 85.868 	 96.797
545 	 963.569 	 85.953 	 96.907
546 	 964.142 	 85.92 	 97.156
547 	 966.435 	 85.912 	 97.499
548 	 968.387 	 86.017 	 97.87
549 	 971.793 	 86.138 	 98.45
550 	 975.271 	 86.57 	 98.789
551 	 977.689 	 86.903 	 99.016
552 	 979.472 	 87.392 	 99.533
553 	 981.162 	 87.491 	 99.937
554 	 982.763 	 87.742 	 100.177
555 	 984.105 	 87.567 	 100.698
556 	 985.291 	 87.494 	 100.906
557 	 987.28 	 87.804 	 101.356
558 	 988.773 	 87.642 	 101.822
559 	 989.651 	 87.524 	 102.16
560 	 990.086 	 87.535 	 102.688
561 	 991.153 	 87.529 	 103.302
562 	 993.317 	 87.621 	 103.4
563 	 994.749 	 87.973 	 103.953
564 	 995.92 	 87.822 	 104.263
565 	 997.271 	 87.997 	 104.555
566 	 999.237 	 87.724 	 105.059
567 	 1001.14 	 87.681 	 105.919
568 	 1004.18 	 87.522 	 106.536
569 	 1006.23 	 87.778 	 107.007
570 	 1008.24 	 88.123 	 107.498
571 	 1009.69 	 88.271 	 107.883
572 	 1010.64 	 88.063 	 108.568
573 	 1012.93 	 87.763 	 108.92
574 	 1016.44 	 87.662 	 109.523
575 	 1017.4 	 87.601 	 110.138
576 	 1018.52 	 87.592 	 110.518
577 	 1020.97 	 88.008 	 111.16
578 	 1024.58 	 87.749 	 111.377
579 	 1026.92 	 88.066 	 111.585
580 	 1028.94 	 88.11 	 112.052
581 	 1030.58 	 88.519 	 112.647
582 	 1033.69 	 88.578 	 112.989
583 	 1036.42 	 88.602 	 113.288
584 	 1039.11 	 88.929 	 113.469
585 	 1040.13 	 89.214 	 113.732
586 	 1042.58 	 89.636 	 113.999
587 	 1044.66 	 89.779 	 114.382
588 	 1046.52 	 90.275 	 115.128
589 	 1048.54 	 90.537 	 115.315
590 	 1050.18 	 90.552 	 115.881
591 	 1051.08 	 90.412 	 116.03
592 	 1052.63 	 90.586 	 116.324
593 	 1054.52 	 91.013 	 116.942
594 	 1056.24 	 91.071 	 117.656
595 	 1056.9 	 91.138 	 118.187
596 	 1057.47 	 91.313 	 118.469
597 	 1059.16 	 90.914 	 118.861
598 	 1061.81 	 91.035 	 119.383
599 	 1063.74 	 90.633 	 119.825
600 	 1064.63 	 90.552 	 120.387
601 	 1066.18 	 90.202 	 120.59
602 	 1067.25 	 90.578 	 120.917
603 	 1069.77 	 90.846 	 121.209
604 	 1070.51 	 91.113 	 121.456
605 	 1071.87 	 91.174 	 121.929
606 	 1073.34 	 91.31 	 122.218
607 	 1074.12 	 91.688 	 123.064
608 	 1075.22 	 91.981 	 123.212
609 	 1077.18 	 92.499 	 123.436
610 	 1077.15 	 92.495 	 124.047
611 	 1078.11 	 92.671 	 124.599
612 	 1079.66 	 92.959 	 125.336
613 	 1080 	 93.488 	 125.849
614 	 1082.52 	 93.77 	 126.275
615 	 1083.5 	 93.626 	 126.911
616 	 1085.92 	 93.691 	 127.638
617 	 1087.59 	 93.992 	 128.381
618 	 1089.19 	 94.135 	 128.829
619 	 1090.57 	 94.447 	 129.687
620 	 1092.06 	 94.403 	 130.469
621 	 1092.47 	 94.833 	 131.025
622 	 1095.36 	 95.004 	 131.455
623 	 1096.9 	 95.638 	 132.067
624 	 1098.98 	 95.684 	 132.237
625 	 1101.08 	 96.018 	 132.851
626 	 1102.23 	 95.853 	 133.238
627 	 1104.82 	 95.882 	 133.322
628 	 1105.83 	 96.118 	 134.001
629 	 1106.72 	 96.178 	 134.486
630 	 1108.72 	 96.149 	 135.115
631 	 1111.27 	 95.722 	 135.551
632 	 1113.7 	 95.519 	 136.053
633 	 1113.74 	 95.816 	 136.624
634 	 1115.53 	 95.583 	 137.131
635 	 1116.44 	 95.265 	 137.505
636 	 1118.67 	 95.652 	 138.121
637 	 1120.26 	 95.873 	 139.09
638 	 1121.72 	 95.758 	 139.549
639 	 1122.91 	 95.88 	 140.281
640 	 1123.86 	 96.176 	 140.921
641 	 1126.68 	 95.879 	 141.256
642 	 1129.56 	 96.36 	 141.498
643 	 1131.83 	 96.085 	 142.161
644 	 1133.56 	 96.477 	 142.619
645 	 1133.52 	 96.538 	 143.26
646 	 1133.55 	 96.3 	 143.644
647 	 1135.71 	 96.564 	 144.073
648 	 1137.14 	 96.811 	 144.476
649 	 1138.73 	 97.19 	 144.799
650 	 1140.21 	 97.103 	 145.361
651 	 1141.37 	 97.44 	 145.72
652 	 1142.43 	 97.395 	 146.391
653 	 1143.42 	 97.476 	 146.735
654 	 1144.29 	 97.437 	 146.991
655 	 1145.96 	 98.107 	 147.427
